Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:	Frec:1007.0	LogProb:-4.877368416749032
Palabra:cancel	Frec:2.0	LogProb:-10.694479576712236
Palabra:nicely	Frec:4.0	LogProb:-10.183653952946246
Palabra:BBC	Frec:2.0	LogProb:-10.694479576712236
Palabra:spontaneous	Frec:2.0	LogProb:-10.694479576712236
Palabra:BBQ	Frec:1.0	LogProb:-11.099944684820402
Palabra:*snicker*	Frec:1.0	LogProb:-11.099944684820402
Palabra:Grow	Frec:2.0	LogProb:-10.694479576712236
Palabra:Sure	Frec:11.0	LogProb:-9.308185215592346
Palabra:Zaxby's	Frec:1.0	LogProb:-11.099944684820402
Palabra:YEAR	Frec:1.0	LogProb:-11.099944684820402
Palabra:pick	Frec:17.0	LogProb:-8.902720107484182
Palabra:BBW	Frec:2.0	LogProb:-10.694479576712236
Palabra:gloomy	Frec:1.0	LogProb:-11.099944684820402
Palabra:YEAH	Frec:6.0	LogProb:-9.847181716325034
Palabra:yayea	Frec:1.0	LogProb:-11.099944684820402
Palabra:pics	Frec:14.0	LogProb:-9.085041664278137
Palabra:energy	Frec:6.0	LogProb:-9.847181716325034
Palabra:#	Frec:3.0	LogProb:-10.406797504260457
Palabra:$	Frec:20.0	LogProb:-8.748569427656923
Palabra:Chalet	Frec:1.0	LogProb:-11.099944684820402
Palabra:urrday	Frec:1.0	LogProb:-11.099944684820402
Palabra:%	Frec:13.0	LogProb:-9.154034535765089
Palabra:STOP	Frec:2.0	LogProb:-10.694479576712236
Palabra:&	Frec:88.0	LogProb:-7.304455495648207
Palabra:'	Frec:11.0	LogProb:-9.308185215592346
Palabra:spreading	Frec:2.0	LogProb:-10.694479576712236
Palabra:Aah	Frec:1.0	LogProb:-11.099944684820402
Palabra:*	Frec:5.0	LogProb:-10.001332396152291
Palabra:carriers	Frec:1.0	LogProb:-11.099944684820402
Palabra:+	Frec:21.0	LogProb:-8.702049412022031
Palabra:BCK	Frec:1.0	LogProb:-11.099944684820402
Palabra:-	Frec:192.0	LogProb:-6.530401676475461
Palabra:/	Frec:20.0	LogProb:-8.748569427656923
Palabra:BCS	Frec:1.0	LogProb:-11.099944684820402
Palabra:Diet	Frec:1.0	LogProb:-11.099944684820402
