Numero de documentos del corpus :6747
N�mero de palabras del corpus:97247
Palabra:	Frec:1773.0	LogProb:-4.4041173556402065
Palabra:half	Frec:13.0	LogProb:-9.246052188894472
Palabra:don't	Frec:255.0	LogProb:-6.339932074030169
Palabra:upload	Frec:2.0	LogProb:-10.786497229841622
Palabra:tea	Frec:6.0	LogProb:-9.939199369454418
Palabra:Grow	Frec:1.0	LogProb:-11.191962337949786
Palabra:Sure	Frec:7.0	LogProb:-9.805667976829895
Palabra:drunk	Frec:18.0	LogProb:-8.94067053934329
Palabra:YEAR	Frec:2.0	LogProb:-10.786497229841622
Palabra:pick	Frec:16.0	LogProb:-9.051896174453514
Palabra:stuff...	Frec:5.0	LogProb:-10.093350049281677
Palabra:YEAH	Frec:16.0	LogProb:-9.051896174453514
Palabra:tel	Frec:3.0	LogProb:-10.49881515738984
Palabra:sake	Frec:3.0	LogProb:-10.49881515738984
Palabra:pics	Frec:10.0	LogProb:-9.48721424571136
Palabra:#	Frec:7.0	LogProb:-9.805667976829895
Palabra:$	Frec:28.0	LogProb:-8.517813688523256
Palabra:%	Frec:9.0	LogProb:-9.582524425515684
Palabra:STOP	Frec:5.0	LogProb:-10.093350049281677
Palabra:&	Frec:133.0	LogProb:-6.987269718558819
Palabra:'	Frec:8.0	LogProb:-9.687884941173511
Palabra:back..	Frec:1.0	LogProb:-11.191962337949786
Palabra:(	Frec:13.0	LogProb:-9.246052188894472
Palabra:squares	Frec:2.0	LogProb:-10.786497229841622
Palabra:spreading	Frec:2.0	LogProb:-10.786497229841622
Palabra:)	Frec:52.0	LogProb:-7.914817604957609
Palabra:Aah	Frec:3.0	LogProb:-10.49881515738984
Palabra:*	Frec:3.0	LogProb:-10.49881515738984
Palabra:+	Frec:18.0	LogProb:-8.94067053934329
Palabra:WHERE	Frec:2.0	LogProb:-10.786497229841622
Palabra:-	Frec:224.0	LogProb:-6.469009116305311
Palabra:click	Frec:7.0	LogProb:-9.805667976829895
Palabra:.	Frec:134.0	LogProb:-6.9798347400713014
Palabra:/	Frec:18.0	LogProb:-8.94067053934329
Palabra:that...	Frec:12.0	LogProb:-9.320160161048195
Palabra:drumk	Frec:2.0	LogProb:-10.786497229841622
Palabra:th)	Frec:3.0	LogProb:-10.49881515738984
Palabra:scarves.	Frec:3.0	LogProb:-10.49881515738984
Palabra::	Frec:46.0	LogProb:-8.034961916799672
Palabra:;	Frec:3.0	LogProb:-10.49881515738984
Palabra:th.	Frec:2.0	LogProb:-10.786497229841622
Palabra:drums	Frec:2.0	LogProb:-10.786497229841622
Palabra:<	Frec:1.0	LogProb:-11.191962337949786
Palabra:=	Frec:15.0	LogProb:-9.11252079626995
Palabra:goin	Frec:7.0	LogProb:-9.805667976829895
Palabra:@	Frec:57.0	LogProb:-7.824666507963311
Palabra:A	Frec:79.0	LogProb:-7.503082883835849
Palabra:telling	Frec:18.0	LogProb:-8.94067053934329
Palabra:squatting	Frec:3.0	LogProb:-10.49881515738984
Palabra:hang	Frec:10.0	LogProb:-9.48721424571136
Palabra:B	Frec:7.0	LogProb:-9.805667976829895
Palabra:C	Frec:3.0	LogProb:-10.49881515738984
Palabra:role	Frec:6.0	LogProb:-9.939199369454418
Palabra:D	Frec:7.0	LogProb:-9.805667976829895
Palabra:CHUCK.	Frec:2.0	LogProb:-10.786497229841622
Palabra:E	Frec:5.0	LogProb:-10.093350049281677
Palabra:F	Frec:3.0	LogProb:-10.49881515738984
Palabra:MBA.	Frec:2.0	LogProb:-10.786497229841622
Palabra:SEX	Frec:1.0	LogProb:-11.191962337949786
Palabra:roll	Frec:15.0	LogProb:-9.11252079626995
Palabra:H	Frec:11.0	LogProb:-9.400202868721731
Palabra:I	Frec:2506.0	LogProb:-4.058267420351437
Palabra:turn	Frec:10.0	LogProb:-9.48721424571136
Palabra:K	Frec:6.0	LogProb:-9.939199369454418
Palabra:blond	Frec:3.0	LogProb:-10.49881515738984
Palabra:L	Frec:5.0	LogProb:-10.093350049281677
Palabra:M	Frec:2.0	LogProb:-10.786497229841622
Palabra:N	Frec:16.0	LogProb:-9.051896174453514
Palabra:Font	Frec:3.0	LogProb:-10.49881515738984
Palabra:P	Frec:4.0	LogProb:-10.27567160607563
Palabra:skype	Frec:3.0	LogProb:-10.49881515738984
Palabra:Q	Frec:2.0	LogProb:-10.786497229841622
Palabra:R	Frec:4.0	LogProb:-10.27567160607563
Palabra:benieuwd...	Frec:3.0	LogProb:-10.49881515738984
Palabra:same	Frec:55.0	LogProb:-7.859757827774581
Palabra:S	Frec:3.0	LogProb:-10.49881515738984
Palabra:T	Frec:13.0	LogProb:-9.246052188894472
Palabra:Lucas'	Frec:2.0	LogProb:-10.786497229841622
Palabra:U	Frec:64.0	LogProb:-7.710722248614093
Palabra:V	Frec:4.0	LogProb:-10.27567160607563
Palabra:W	Frec:3.0	LogProb:-10.49881515738984
Palabra:sama	Frec:2.0	LogProb:-10.786497229841622
Palabra:Y	Frec:3.0	LogProb:-10.49881515738984
Palabra:after	Frec:34.0	LogProb:-8.329761457020318
Palabra:shouldn't	Frec:12.0	LogProb:-9.320160161048195
Palabra:flip	Frec:6.0	LogProb:-9.939199369454418
Palabra:connect	Frec:6.0	LogProb:-9.939199369454418
Palabra:hand	Frec:17.0	LogProb:-8.994737760613566
Palabra:_	Frec:6.0	LogProb:-9.939199369454418
Palabra:BED	Frec:6.0	LogProb:-9.939199369454418
Palabra:a	Frec:1805.0	LogProb:-4.3862397845328
Palabra:b	Frec:24.0	LogProb:-8.66623369364153
Palabra:c	Frec:11.0	LogProb:-9.400202868721731
Palabra:BEE	Frec:1.0	LogProb:-11.191962337949786
Palabra:bettaa	Frec:1.0	LogProb:-11.191962337949786
Palabra:e	Frec:6.0	LogProb:-9.939199369454418
Palabra:f	Frec:4.0	LogProb:-10.27567160607563
Palabra:h	Frec:8.0	LogProb:-9.687884941173511
Palabra:time)	Frec:2.0	LogProb:-10.786497229841622
Palabra:i	Frec:943.0	LogProb:-5.03498335236423
Palabra:k	Frec:7.0	LogProb:-9.805667976829895
Palabra:australians	Frec:3.0	LogProb:-10.49881515738984
Palabra:eating	Frec:12.0	LogProb:-9.320160161048195
Palabra:tha	Frec:3.0	LogProb:-10.49881515738984
Palabra:l	Frec:3.0	LogProb:-10.49881515738984
Palabra:blood	Frec:10.0	LogProb:-9.48721424571136
Palabra:m	Frec:5.0	LogProb:-10.093350049281677
Palabra:n	Frec:45.0	LogProb:-8.056468122020636
Palabra:FGHSDJ	Frec:3.0	LogProb:-10.49881515738984
Palabra:prettier	Frec:1.0	LogProb:-11.191962337949786
Palabra:the	Frec:1898.0	LogProb:-4.336026807697445
Palabra:Red	Frec:5.0	LogProb:-10.093350049281677
Palabra:sucks;{	Frec:3.0	LogProb:-10.49881515738984
Palabra:straight	Frec:35.0	LogProb:-8.30159058005362
Palabra:BET	Frec:3.0	LogProb:-10.49881515738984
Palabra:r	Frec:84.0	LogProb:-7.442458262019414
Palabra:yuletide	Frec:3.0	LogProb:-10.49881515738984
Palabra:s	Frec:5.0	LogProb:-10.093350049281677
Palabra:t	Frec:3.0	LogProb:-10.49881515738984
Palabra:u	Frec:357.0	LogProb:-6.004576532109031
Palabra:readers	Frec:2.0	LogProb:-10.786497229841622
Palabra:corny	Frec:2.0	LogProb:-10.786497229841622
Palabra:w	Frec:10.0	LogProb:-9.48721424571136
Palabra:x	Frec:5.0	LogProb:-10.093350049281677
Palabra:y	Frec:7.0	LogProb:-9.805667976829895
Palabra:tho	Frec:11.0	LogProb:-9.400202868721731
Palabra:information	Frec:1.0	LogProb:-11.191962337949786
Palabra:plasma	Frec:3.0	LogProb:-10.49881515738984
Palabra:ths	Frec:3.0	LogProb:-10.49881515738984
Palabra:~	Frec:9.0	LogProb:-9.582524425515684
Palabra:cologne.	Frec:2.0	LogProb:-10.786497229841622
Palabra:BFE	Frec:2.0	LogProb:-10.786497229841622
Palabra:tht	Frec:16.0	LogProb:-9.051896174453514
Palabra:tellin'	Frec:3.0	LogProb:-10.49881515738984
Palabra:Excited	Frec:2.0	LogProb:-10.786497229841622
Palabra:powered	Frec:6.0	LogProb:-9.939199369454418
Palabra:thy	Frec:2.0	LogProb:-10.786497229841622
Palabra:thx	Frec:9.0	LogProb:-9.582524425515684
Palabra:McMahon	Frec:3.0	LogProb:-10.49881515738984
Palabra:good	Frec:114.0	LogProb:-7.140177390146481
Palabra:whatsoever...People	Frec:2.0	LogProb:-10.786497229841622
Palabra:allston	Frec:3.0	LogProb:-10.49881515738984
Palabra:DYKE	Frec:3.0	LogProb:-10.49881515738984
Palabra:goof	Frec:3.0	LogProb:-10.49881515738984
Palabra:empty	Frec:2.0	LogProb:-10.786497229841622
Palabra:how's	Frec:3.0	LogProb:-10.49881515738984
Palabra:SHE	Frec:1.0	LogProb:-11.191962337949786
Palabra:cgy	Frec:2.0	LogProb:-10.786497229841622
